INFO 2022-08-11 10:35:39,339 autoreload Watching for file changes with StatReloader
INFO 2022-08-11 10:38:16,121 autoreload /Users/ivantrushin/Documents/Personal/mainsLabTest/bills/services.py changed, reloading.
INFO 2022-08-11 10:54:06,504 views Started processing client2_bills.xlsx file...
INFO 2022-08-11 10:54:06,507 services Processing service column...
INFO 2022-08-11 10:54:06,509 services Processing number column...
INFO 2022-08-11 10:54:06,510 services Processing sum column...
INFO 2022-08-11 10:54:06,511 services Processing date column...
INFO 2022-08-11 10:54:06,518 services Created 6 BillInquiry instances
INFO 2022-08-11 10:54:46,551 views hello
INFO 2022-08-11 10:54:49,074 views hello
[INFO 2022-08-11 10:56:18,838 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 10:56:18,840 services] Processing service column...
[INFO 2022-08-11 10:56:18,841 services] Processing number column...
[INFO 2022-08-11 10:56:18,842 services] Processing sum column...
[INFO 2022-08-11 10:56:18,844 services] Processing date column...
[INFO 2022-08-11 10:56:18,852 services] Created 6 BillInquiry instances
[INFO 2022-08-11 10:56:48,841 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 10:56:48,843 services] Processing service column...
[INFO 2022-08-11 10:56:48,845 services] Processing number column...
[INFO 2022-08-11 10:56:48,848 services] Processing sum column...
[INFO 2022-08-11 10:56:48,850 services] Processing date column...
[INFO 2022-08-11 10:56:48,868 services] Created 6 BillInquiry instances
[INFO 2022-08-11 10:57:17,779 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 10:57:17,781 services] Processing service column...
[INFO 2022-08-11 10:57:17,783 services] Processing number column...
[INFO 2022-08-11 10:57:17,786 services] Processing sum column...
[INFO 2022-08-11 10:57:17,789 services] Processing date column...
[INFO 2022-08-11 10:57:17,804 services] Created 6 BillInquiry instances
[INFO 2022-08-11 10:57:20,175 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 10:57:20,178 services] Processing service column...
[INFO 2022-08-11 10:57:20,180 services] Processing number column...
[INFO 2022-08-11 10:57:20,182 services] Processing sum column...
[INFO 2022-08-11 10:57:20,185 services] Processing date column...
[INFO 2022-08-11 10:57:20,199 services] Created 6 BillInquiry instances
[INFO 2022-08-11 10:58:37,721 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 10:58:37,723 services] Processing service column...
[INFO 2022-08-11 10:58:37,724 services] Processing number column...
[INFO 2022-08-11 10:58:37,725 services] Processing sum column...
[INFO 2022-08-11 10:58:37,726 services] Processing date column...
[INFO 2022-08-11 10:58:37,736 services] Created 6 BillInquiry instances
[INFO 2022-08-11 10:59:36,691 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 10:59:36,693 services] Processing service column...
[INFO 2022-08-11 10:59:36,695 services] Processing number column...
[INFO 2022-08-11 10:59:36,695 services] Processing sum column...
[INFO 2022-08-11 10:59:36,696 services] Processing date column...
[INFO 2022-08-11 11:00:23,231 services] Created 6 BillInquiry instances
[INFO 2022-08-11 11:01:45,023 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 11:01:45,024 services] Processing service column...
[INFO 2022-08-11 11:01:45,025 services] Processing number column...
[INFO 2022-08-11 11:01:45,026 services] Processing sum column...
[INFO 2022-08-11 11:01:45,027 services] Processing date column...
[INFO 2022-08-11 11:01:49,204 services] Created 6 BillInquiry instances
[INFO 2022-08-11 11:01:51,549 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 11:01:51,550 services] Processing service column...
[INFO 2022-08-11 11:01:51,551 services] Processing number column...
[INFO 2022-08-11 11:01:51,551 services] Processing sum column...
[INFO 2022-08-11 11:01:51,553 services] Processing date column...
[INFO 2022-08-11 11:05:53,306 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 11:05:53,307 services] Processing service column...
[INFO 2022-08-11 11:05:53,307 services] Processing number column...
[INFO 2022-08-11 11:05:53,308 services] Processing sum column...
[INFO 2022-08-11 11:05:53,309 services] Processing date column...
[INFO 2022-08-11 11:06:17,500 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 11:06:17,502 services] Processing service column...
[INFO 2022-08-11 11:06:17,502 services] Processing number column...
[INFO 2022-08-11 11:06:17,503 services] Processing sum column...
[INFO 2022-08-11 11:06:17,504 services] Processing date column...
[INFO 2022-08-11 11:07:54,657 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 11:07:54,658 services] Processing service column...
[INFO 2022-08-11 11:07:54,659 services] Processing number column...
[INFO 2022-08-11 11:07:54,660 services] Processing sum column...
[INFO 2022-08-11 11:07:54,661 services] Processing date column...
[INFO 2022-08-11 11:09:13,968 views] Started processing client2_bills.xlsx file...
[INFO 2022-08-11 11:09:13,970 services] Processing service column...
[INFO 2022-08-11 11:09:13,970 services] Processing number column...
[INFO 2022-08-11 11:09:13,971 services] Processing sum column...
[INFO 2022-08-11 11:09:13,972 services] Processing date column...
[INFO 2022-08-11 11:09:13,999 services] Skipped all records from dataframe, because they already exist in database
[INFO 2022-08-11 11:09:55,623 views] Started processing client3_bills_bad.xlsx file...
[ERROR 2022-08-11 11:09:59,148 views] File client3_bills_bad.xlsx columns do not match any of the rules
